tanggal,tahun,nomor_bulan,bulan,paspor_atau_wilayah,kategori,jumlah_kunjungan,status_data
2022-01-01,2022,1,Januari,GRAND TOTAL,grand_total,136298,tersedia
2022-01-01,2022,1,Januari,Afganistan,paspor,9,tersedia
2022-01-01,2022,1,Januari,Afrika Tengah Rep.,paspor,0,tersedia
2022-01-01,2022,1,Januari,Alaska,paspor,0,tersedia
2022-01-01,2022,1,Januari,Albania,paspor,7,tersedia
2022-01-01,2022,1,Januari,Aljazair / Algeria,paspor,7,tersedia
2022-01-01,2022,1,Januari,Andorra,paspor,0,tersedia
2022-01-01,2022,1,Januari,Angola,paspor,2,tersedia
2022-01-01,2022,1,Januari,Antigua & Barbuda,paspor,0,tersedia
2022-01-01,2022,1,Januari,Argentina,paspor,17,tersedia
2022-01-01,2022,1,Januari,Armenia,paspor,1,tersedia
2022-01-01,2022,1,Januari,Aruba,paspor,0,tersedia
2022-01-01,2022,1,Januari,Australia,paspor,511,tersedia
2022-01-01,2022,1,Januari,Austria,paspor,316,tersedia
2022-01-01,2022,1,Januari,Azerbaijan,paspor,8,tersedia
2022-01-01,2022,1,Januari,Bahama Islands,paspor,0,tersedia
2022-01-01,2022,1,Januari,Bahrain,paspor,0,tersedia
2022-01-01,2022,1,Januari,Bangladesh,paspor,157,tersedia
2022-01-01,2022,1,Januari,Barbados,paspor,0,tersedia
2022-01-01,2022,1,Januari,Belarus,paspor,105,tersedia
2022-01-01,2022,1,Januari,Belgium,paspor,112,tersedia
2022-01-01,2022,1,Januari,Belize,paspor,0,tersedia
2022-01-01,2022,1,Januari,Benin,paspor,1,tersedia
2022-01-01,2022,1,Januari,Bermuda,paspor,0,tersedia
2022-01-01,2022,1,Januari,Bhutan,paspor,0,tersedia
2022-01-01,2022,1,Januari,Bolivia,paspor,2,tersedia
2022-01-01,2022,1,Januari,Bosnia Herzegovina,paspor,4,tersedia
2022-01-01,2022,1,Januari,Bostwana,paspor,0,tersedia
2022-01-01,2022,1,Januari,Brazilia,paspor,126,tersedia
2022-01-01,2022,1,Januari,British Indian Ocean Teritory,paspor,0,tersedia
2022-01-01,2022,1,Januari,Brunei Darussalam,paspor,17,tersedia
2022-01-01,2022,1,Januari,Bulgaria,paspor,27,tersedia
2022-01-01,2022,1,Januari,Burkina Faso,paspor,0,tersedia
2022-01-01,2022,1,Januari,Burkinabe,paspor,0,tersedia
2022-01-01,2022,1,Januari,Burundi,paspor,2,tersedia
